Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a064O00001UU2NoQAL,111424,"Tampa, FL","Tampa, FL",TPA | FG | 110 | B4,2026-04-10,,2026-06-19T15:04:16.000+0000
a064O00001UU9NMQA1,112927,"Tampa, FL","Tampa, FL",TPA | FG | 115 | H1,2026-04-10,,2026-06-19T15:04:50.000+0000
a064O00001UUKbnQAH,114521,"Tampa, FL","Tampa, FL",TPA | FG | 100 | F5,2026-04-10,,2026-07-08T14:16:25.000+0000
a064O00001UUNUpQAP,115079,"Tampa, FL",,FSE | Steven Echezuria,2026-04-10,,2026-08-14T13:43:23.000+0000
a064O00001UUNW8QAP,115094,"Tampa, FL","Tampa, FL",TPA | FG | 125 | E4,2026-04-10,,2026-06-19T15:05:43.000+0000
a064O00001UUTNuQAP,115923,"Tampa, FL","Tampa, FL",TPA | FG | 110 | J1,2026-04-10,,2026-06-19T15:06:02.000+0000
a064O00001UUURnQAP,116201,"Tampa, FL","Tampa, FL",TPA | FG | 130 | G3,2026-04-10,,2026-06-19T15:06:09.000+0000
a064O00001UUdn4QAD,117649,"Tampa, FL","Tampa, FL",TPA | FG | 115 | A4,2026-04-10,,2026-06-19T15:06:42.000+0000
a064O00001UUdn9QAD,117650,"Tampa, FL","Tampa, FL",TPA | FG | 100 | J2,2026-04-10,,2026-06-19T15:06:42.000+0000
a064O00001UUgnxQAD,118258,"Tampa, FL","Tampa, FL",TPA | FG | 115 | A2,2026-04-10,,2026-06-19T15:06:56.000+0000
a064O00001UUjYnQAL,118770,"Tampa, FL","Tampa, FL",TPA | FG | 110 | C3,2026-04-10,,2026-06-19T15:07:07.000+0000
a064O00001UbNO3QAN,108307,"Tampa, FL","Tampa, FL",TPA | FG | 105 | G3,2026-04-10,,2026-06-19T15:14:12.000+0000
a064O00001UbNQDQA3,108324,"Tampa, FL","Tampa, FL",TPA | FG | 105 | K3,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbNRVQA3,108335,"Tampa, FL","Tampa, FL",TPA | FG | 130 | C5,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbORNQA3,108358,"Tampa, FL","Tampa, FL",TPA | FG | 130 | J3,2026-04-10,,2026-06-19T15:14:15.000+0000
a064O00001Ul4NcQAJ,120050,"Tampa, FL","Tampa, FL",TPA | FG | 110 | H5,2026-04-10,,2026-06-19T15:16:25.000+0000
a064O00001Ul5SnQAJ,120281,"Tampa, FL","Tampa, FL",TPA | FG | 100 | H3,2026-04-10,,2026-06-19T15:16:29.000+0000
